strain	replicate	conc	time	value
T	2	7.81	17	0.093
T	2	7.81	18	0.095
T	2	7.81	19	0.098
T	2	7.81	20	0.1
T	2	7.81	21	0.101
T	2	7.81	22	0.102
T	2	7.81	23	0.104
T	2	7.81	24	0.105
T	2	7.81	25	0.107
T	2	7.81	26	0.107
T	2	7.81	27	0.108
T	2	7.81	28	0.11
T	2	7.81	29	0.111
T	2	7.81	30	0.113
T	2	15.63	0	0.011
T	2	15.63	1	0.011
T	2	15.63	2	0.012
T	2	15.63	3	0.013
T	2	15.63	4	0.016
T	2	15.63	5	0.02
T	2	15.63	6	0.027
T	2	15.63	7	0.036
T	2	15.63	8	0.044
T	2	15.63	9	0.048
T	2	15.63	10	0.052
T	2	15.63	11	0.056
T	2	15.63	12	0.06
T	2	15.63	13	0.063
T	2	15.63	14	0.066
T	2	15.63	15	0.068
T	2	15.63	16	0.07
T	2	15.63	17	0.071
T	2	15.63	18	0.072
T	2	15.63	19	0.073
T	2	15.63	20	0.074
T	2	15.63	21	0.076
T	2	15.63	22	0.077
T	2	15.63	23	0.077
T	2	15.63	24	0.078
T	2	15.63	25	0.08
T	2	15.63	26	0.082
T	2	15.63	27	0.083
T	2	15.63	28	0.083
T	2	15.63	29	0.083
T	2	15.63	30	0.084
T	2	31.25	0	0.011
T	2	31.25	1	0.01
T	2	31.25	2	0.01
T	2	31.25	3	0.01
T	2	31.25	4	0.01
T	2	31.25	5	0.011
T	2	31.25	6	0.011
T	2	31.25	7	0.012
T	2	31.25	8	0.012
T	2	31.25	9	0.013
T	2	31.25	10	0.014
T	2	31.25	11	0.016
T	2	31.25	12	0.019
T	2	31.25	13	0.022
T	2	31.25	14	0.027
T	2	31.25	15	0.033
T	2	31.25	16	0.041
T	2	31.25	17	0.048
T	2	31.25	18	0.054
T	2	31.25	19	0.058
T	2	31.25	20	0.062
T	2	31.25	21	0.066
T	2	31.25	22	0.07
T	2	31.25	23	0.075
T	2	31.25	24	0.08
T	2	31.25	25	0.083
T	2	31.25	26	0.086
T	2	31.25	27	0.088
T	2	31.25	28	0.09
T	2	31.25	29	0.091
T	2	31.25	30	0.094
T	2	62.5	0	0.01
T	2	62.5	1	0.011
T	2	62.5	2	0.012
T	2	62.5	3	0.013
T	2	62.5	4	0.014
T	2	62.5	5	0.015
T	2	62.5	6	0.016
T	2	62.5	7	0.017
T	2	62.5	8	0.018
T	2	62.5	9	0.019
T	2	62.5	10	0.02
T	2	62.5	11	0.021
T	2	62.5	12	0.022
T	2	62.5	13	0.023
T	2	62.5	14	0.023
T	2	62.5	15	0.024
T	2	62.5	16	0.023
T	2	62.5	17	0.024
T	2	62.5	18	0.024
T	2	62.5	19	0.024
T	2	62.5	20	0.024
T	2	62.5	21	0.024
T	2	62.5	22	0.024
T	2	62.5	23	0.024
T	2	62.5	24	0.025
T	2	62.5	25	0.026
T	2	62.5	26	0.027
T	2	62.5	27	0.029
T	2	62.5	28	0.031
T	2	62.5	29	0.034
T	2	62.5	30	0.037
T	2	125	0	0.011
T	2	125	1	0.012
T	2	125	2	0.013
T	2	125	3	0.014
T	2	125	4	0.014
T	2	125	5	0.015
T	2	125	6	0.016
T	2	125	7	0.017
T	2	125	8	0.017
T	2	125	9	0.018
T	2	125	10	0.018
T	2	125	11	0.019
T	2	125	12	0.019
T	2	125	13	0.019
T	2	125	14	0.019
T	2	125	15	0.019
T	2	125	16	0.02
T	2	125	17	0.02
T	2	125	18	0.02
T	2	125	19	0.02
T	2	125	20	0.02
T	2	125	21	0.02
T	2	125	22	0.02
T	2	125	23	0.02
T	2	125	24	0.02
T	2	125	25	0.02
T	2	125	26	0.02
T	2	125	27	0.02
T	2	125	28	0.021
T	2	125	29	0.02
T	2	125	30	0.021
T	2	250	0	0.013
T	2	250	1	0.013
T	2	250	2	0.015
T	2	250	3	0.018
T	2	250	4	0.019
T	2	250	5	0.02
T	2	250	6	0.022
T	2	250	7	0.022
T	2	250	8	0.022
T	2	250	9	0.023
T	2	250	10	0.024
T	2	250	11	0.026
T	2	250	12	0.027
T	2	250	13	0.028
T	2	250	14	0.029
T	2	250	15	0.029
T	2	250	16	0.03
T	2	250	17	0.031
T	2	250	18	0.032
T	2	250	19	0.033
T	2	250	20	0.034
T	2	250	21	0.035
T	2	250	22	0.036
T	2	250	23	0.036
T	2	250	24	0.037
T	2	250	25	0.039
T	2	250	26	0.04
T	2	250	27	0.041
T	2	250	28	0.042
T	2	250	29	0.043
T	2	250	30	0.045
T	1	0	0	0.009
T	1	0	1	0.01
T	1	0	2	0.011
T	1	0	3	0.015
T	1	0	4	0.02
T	1	0	5	0.03
T	1	0	6	0.037
T	1	0	7	0.042
T	1	0	8	0.047
T	1	0	9	0.05
T	1	0	10	0.052
T	1	0	11	0.056
T	1	0	12	0.06
T	1	0	13	0.063
T	1	0	14	0.067
T	1	0	15	0.068
T	1	0	16	0.069
T	1	0	17	0.071
T	1	0	18	0.075
T	1	0	19	0.077
T	1	0	20	0.079
T	1	0	21	0.081
T	1	0	22	0.083
T	1	0	23	0.084
T	1	0	24	0.086
T	1	0	25	0.088
T	1	0	26	0.088
T	1	0	27	0.089
T	1	0	28	0.087
T	1	0	29	0.088
T	1	0	30	0.089
T	1	0.24	0	0.016
T	1	0.24	1	0.017
T	1	0.24	2	0.019
T	1	0.24	3	0.021
T	1	0.24	4	0.026
T	1	0.24	5	0.035
T	1	0.24	6	0.045
T	1	0.24	7	0.05
T	1	0.24	8	0.056
T	1	0.24	9	0.058
T	1	0.24	10	0.061
T	1	0.24	11	0.063
T	1	0.24	12	0.064
T	1	0.24	13	0.064
T	1	0.24	14	0.064
T	1	0.24	15	0.064
T	1	0.24	16	0.065
T	1	0.24	17	0.065
T	1	0.24	18	0.065
T	1	0.24	19	0.065
T	1	0.24	20	0.067
T	1	0.24	21	0.068
T	1	0.24	22	0.065
T	1	0.24	23	0.066
T	1	0.24	24	0.066
T	1	0.24	25	0.065
T	1	0.24	26	0.066
T	1	0.24	27	0.066
T	1	0.24	28	0.067
T	1	0.24	29	0.065
T	1	0.24	30	0.066
T	1	0.49	0	0.011
T	1	0.49	1	0.012
T	1	0.49	2	0.013
T	1	0.49	3	0.017
T	1	0.49	4	0.023
T	1	0.49	5	0.033
T	1	0.49	6	0.04
T	1	0.49	7	0.044
T	1	0.49	8	0.049
T	1	0.49	9	0.052
T	1	0.49	10	0.055
T	1	0.49	11	0.058
T	1	0.49	12	0.06
T	1	0.49	13	0.061
T	1	0.49	14	0.063
T	1	0.49	15	0.065
T	1	0.49	16	0.067
T	1	0.49	17	0.069
T	1	0.49	18	0.07
T	1	0.49	19	0.072
T	1	0.49	20	0.074
T	1	0.49	21	0.076
T	1	0.49	22	0.079
T	1	0.49	23	0.08
T	1	0.49	24	0.083
T	1	0.49	25	0.085
T	1	0.49	26	0.086
T	1	0.49	27	0.088
T	1	0.49	28	0.091
T	1	0.49	29	0.092
T	1	0.49	30	0.095
T	1	0.98	0	0.008
T	1	0.98	1	0.009
T	1	0.98	2	0.011
T	1	0.98	3	0.014
T	1	0.98	4	0.02
T	1	0.98	5	0.031
T	1	0.98	6	0.037
T	1	0.98	7	0.042
T	1	0.98	8	0.046
T	1	0.98	9	0.049
T	1	0.98	10	0.052
T	1	0.98	11	0.055
T	1	0.98	12	0.058
T	1	0.98	13	0.06
T	1	0.98	14	0.062
T	1	0.98	15	0.064
T	1	0.98	16	0.067
T	1	0.98	17	0.069
T	1	0.98	18	0.07
T	1	0.98	19	0.071
T	1	0.98	20	0.072
T	1	0.98	21	0.073
T	1	0.98	22	0.074
T	1	0.98	23	0.076
T	1	0.98	24	0.079
T	1	0.98	25	0.08
T	1	0.98	26	0.082
T	1	0.98	27	0.084
T	1	0.98	28	0.086
T	1	0.98	29	0.087
T	1	0.98	30	0.09
T	1	1.95	0	0.009
T	1	1.95	1	0.01
T	1	1.95	2	0.012
T	1	1.95	3	0.015
T	1	1.95	4	0.021
T	1	1.95	5	0.033
T	1	1.95	6	0.038
T	1	1.95	7	0.042
T	1	1.95	8	0.045
T	1	1.95	9	0.049
T	1	1.95	10	0.051
T	1	1.95	11	0.055
T	1	1.95	12	0.058
T	1	1.95	13	0.06
T	1	1.95	14	0.063
T	1	1.95	15	0.064
T	1	1.95	16	0.065
T	1	1.95	17	0.067
T	1	1.95	18	0.068
T	1	1.95	19	0.07
T	1	1.95	20	0.07
T	1	1.95	21	0.072
T	1	1.95	22	0.074
T	1	1.95	23	0.076
T	1	1.95	24	0.078
T	1	1.95	25	0.08
T	1	1.95	26	0.081
T	1	1.95	27	0.085
T	1	1.95	28	0.086
T	1	1.95	29	0.087
T	1	1.95	30	0.09
T	1	3.91	0	0.009
T	1	3.91	1	0.01
T	1	3.91	2	0.012
T	1	3.91	3	0.016
T	1	3.91	4	0.021
T	1	3.91	5	0.031
T	1	3.91	6	0.038
T	1	3.91	7	0.042
T	1	3.91	8	0.045
T	1	3.91	9	0.048
T	1	3.91	10	0.05
T	1	3.91	11	0.054
T	1	3.91	12	0.056
T	1	3.91	13	0.058
T	1	3.91	14	0.059
T	1	3.91	15	0.062
T	1	3.91	16	0.065
T	1	3.91	17	0.066
T	1	3.91	18	0.067
T	1	3.91	19	0.069
T	1	3.91	20	0.07
T	1	3.91	21	0.071
T	1	3.91	22	0.072
T	1	3.91	23	0.074
T	1	3.91	24	0.076
T	1	3.91	25	0.078
T	1	3.91	26	0.079
T	1	3.91	27	0.082
T	1	3.91	28	0.084
T	1	3.91	29	0.085
T	1	3.91	30	0.087
T	1	7.81	0	0.009
T	1	7.81	1	0.01
T	1	7.81	2	0.011
T	1	7.81	3	0.014
T	1	7.81	4	0.018
T	1	7.81	5	0.031
T	1	7.81	6	0.035
T	1	7.81	7	0.041
T	1	7.81	8	0.045
T	1	7.81	9	0.049
T	1	7.81	10	0.052
T	1	7.81	11	0.054
T	1	7.81	12	0.057
T	1	7.81	13	0.059
T	1	7.81	14	0.061
T	1	7.81	15	0.063
T	1	7.81	16	0.065
T	1	7.81	17	0.067
T	1	7.81	18	0.068
T	1	7.81	19	0.07
T	1	7.81	20	0.072
T	1	7.81	21	0.073
T	1	7.81	22	0.074
T	1	7.81	23	0.075
T	1	7.81	24	0.077
T	1	7.81	25	0.079
T	1	7.81	26	0.08
T	1	7.81	27	0.083
T	1	7.81	28	0.084
T	1	7.81	29	0.084
T	1	7.81	30	0.086
T	1	15.63	0	0.009
T	1	15.63	1	0.008
T	1	15.63	2	0.009
T	1	15.63	3	0.009
T	1	15.63	4	0.011
T	1	15.63	5	0.018
T	1	15.63	6	0.018
T	1	15.63	7	0.024
T	1	15.63	8	0.031
T	1	15.63	9	0.039
T	1	15.63	10	0.045
T	1	15.63	11	0.049
T	1	15.63	12	0.052
T	1	15.63	13	0.054
T	1	15.63	14	0.057
T	1	15.63	15	0.06
T	1	15.63	16	0.061
T	1	15.63	17	0.063
T	1	15.63	18	0.064
T	1	15.63	19	0.065
T	1	15.63	20	0.066
T	1	15.63	21	0.067
T	1	15.63	22	0.068
T	1	15.63	23	0.069
T	1	15.63	24	0.07
T	1	15.63	25	0.071
T	1	15.63	26	0.073
T	1	15.63	27	0.075
T	1	15.63	28	0.077
T	1	15.63	29	0.078
T	1	15.63	30	0.08
T	1	31.25	0	0.01
T	1	31.25	1	0.01
T	1	31.25	2	0.01
T	1	31.25	3	0.01
T	1	31.25	4	0.01
T	1	31.25	5	0.011
T	1	31.25	6	0.011
T	1	31.25	7	0.012
T	1	31.25	8	0.013
T	1	31.25	9	0.014
T	1	31.25	10	0.016
T	1	31.25	11	0.02
T	1	31.25	12	0.024
T	1	31.25	13	0.031
T	1	31.25	14	0.041
T	1	31.25	15	0.053
T	1	31.25	16	0.067
T	1	31.25	17	0.085
T	1	31.25	18	0.094
