strain	replicate	conc	time	value
D	2	62.5	2	0.009
D	2	62.5	3	0.009
D	2	62.5	4	0.01
D	2	62.5	5	0.012
D	2	62.5	6	0.012
D	2	62.5	7	0.013
D	2	62.5	8	0.014
D	2	62.5	9	0.015
D	2	62.5	10	0.016
D	2	62.5	11	0.017
D	2	62.5	12	0.018
D	2	62.5	13	0.02
D	2	62.5	14	0.021
D	2	62.5	15	0.023
D	2	62.5	16	0.024
D	2	62.5	17	0.026
D	2	62.5	18	0.028
D	2	62.5	19	0.031
D	2	62.5	20	0.035
D	2	62.5	21	0.039
D	2	62.5	22	0.045
D	2	62.5	23	0.052
D	2	62.5	24	0.06
D	2	62.5	25	0.067
D	2	62.5	26	0.072
D	2	62.5	27	0.079
D	2	62.5	28	0.083
D	2	62.5	29	0.085
D	2	62.5	30	0.088
D	2	125	0	0.009
D	2	125	1	0.009
D	2	125	2	0.01
D	2	125	3	0.01
D	2	125	4	0.011
D	2	125	5	0.012
D	2	125	6	0.012
D	2	125	7	0.013
D	2	125	8	0.015
D	2	125	9	0.016
D	2	125	10	0.017
D	2	125	11	0.018
D	2	125	12	0.019
D	2	125	13	0.02
D	2	125	14	0.02
D	2	125	15	0.021
D	2	125	16	0.022
D	2	125	17	0.023
D	2	125	18	0.023
D	2	125	19	0.024
D	2	125	20	0.024
D	2	125	21	0.025
D	2	125	22	0.025
D	2	125	23	0.025
D	2	125	24	0.026
D	2	125	25	0.026
D	2	125	26	0.027
D	2	125	27	0.027
D	2	125	28	0.028
D	2	125	29	0.028
D	2	125	30	0.028
D	2	250	0	0.015
D	2	250	1	0.016
D	2	250	2	0.017
D	2	250	3	0.018
D	2	250	4	0.019
D	2	250	5	0.021
D	2	250	6	0.021
D	2	250	7	0.022
D	2	250	8	0.023
D	2	250	9	0.024
D	2	250	10	0.025
D	2	250	11	0.026
D	2	250	12	0.028
D	2	250	13	0.028
D	2	250	14	0.029
D	2	250	15	0.03
D	2	250	16	0.03
D	2	250	17	0.031
D	2	250	18	0.032
D	2	250	19	0.034
D	2	250	20	0.034
D	2	250	21	0.035
D	2	250	22	0.037
D	2	250	23	0.037
D	2	250	24	0.039
D	2	250	25	0.039
D	2	250	26	0.041
D	2	250	27	0.042
D	2	250	28	0.043
D	2	250	29	0.044
D	2	250	30	0.045
D	1	0	0	0.018
D	1	0	1	0.018
D	1	0	2	0.019
D	1	0	3	0.022
D	1	0	4	0.027
D	1	0	5	0.036
D	1	0	6	0.045
D	1	0	7	0.049
D	1	0	8	0.056
D	1	0	9	0.061
D	1	0	10	0.064
D	1	0	11	0.069
D	1	0	12	0.072
D	1	0	13	0.075
D	1	0	14	0.078
D	1	0	15	0.078
D	1	0	16	0.079
D	1	0	17	0.083
D	1	0	18	0.086
D	1	0	19	0.088
D	1	0	20	0.088
D	1	0	21	0.089
D	1	0	22	0.089
D	1	0	23	0.09
D	1	0	24	0.093
D	1	0	25	0.094
D	1	0	26	0.098
D	1	0	27	0.101
D	1	0	28	0.104
D	1	0	29	0.105
D	1	0	30	0.107
D	1	0.24	0	0.023
D	1	0.24	1	0.023
D	1	0.24	2	0.025
D	1	0.24	3	0.026
D	1	0.24	4	0.031
D	1	0.24	5	0.038
D	1	0.24	6	0.048
D	1	0.24	7	0.054
D	1	0.24	8	0.058
D	1	0.24	9	0.063
D	1	0.24	10	0.067
D	1	0.24	11	0.068
D	1	0.24	12	0.07
D	1	0.24	13	0.071
D	1	0.24	14	0.071
D	1	0.24	15	0.072
D	1	0.24	16	0.074
D	1	0.24	17	0.073
D	1	0.24	18	0.076
D	1	0.24	19	0.076
D	1	0.24	20	0.078
D	1	0.24	21	0.078
D	1	0.24	22	0.079
D	1	0.24	23	0.079
D	1	0.24	24	0.08
D	1	0.24	25	0.079
D	1	0.24	26	0.081
D	1	0.24	27	0.08
D	1	0.24	28	0.081
D	1	0.24	29	0.082
D	1	0.24	30	0.082
D	1	0.49	0	0.031
D	1	0.49	1	0.032
D	1	0.49	2	0.034
D	1	0.49	3	0.036
D	1	0.49	4	0.041
D	1	0.49	5	0.055
D	1	0.49	6	0.058
D	1	0.49	7	0.062
D	1	0.49	8	0.068
D	1	0.49	9	0.072
D	1	0.49	10	0.074
D	1	0.49	11	0.077
D	1	0.49	12	0.078
D	1	0.49	13	0.081
D	1	0.49	14	0.082
D	1	0.49	15	0.084
D	1	0.49	16	0.086
D	1	0.49	17	0.088
D	1	0.49	18	0.089
D	1	0.49	19	0.091
D	1	0.49	20	0.093
D	1	0.49	21	0.094
D	1	0.49	22	0.096
D	1	0.49	23	0.097
D	1	0.49	24	0.098
D	1	0.49	25	0.099
D	1	0.49	26	0.099
D	1	0.49	27	0.101
D	1	0.49	28	0.102
D	1	0.49	29	0.103
D	1	0.49	30	0.104
D	1	0.98	0	0.01
D	1	0.98	1	0.011
D	1	0.98	2	0.012
D	1	0.98	3	0.015
D	1	0.98	4	0.021
D	1	0.98	5	0.034
D	1	0.98	6	0.039
D	1	0.98	7	0.043
D	1	0.98	8	0.048
D	1	0.98	9	0.052
D	1	0.98	10	0.055
D	1	0.98	11	0.059
D	1	0.98	12	0.062
D	1	0.98	13	0.064
D	1	0.98	14	0.067
D	1	0.98	15	0.069
D	1	0.98	16	0.07
D	1	0.98	17	0.072
D	1	0.98	18	0.074
D	1	0.98	19	0.076
D	1	0.98	20	0.077
D	1	0.98	21	0.078
D	1	0.98	22	0.081
D	1	0.98	23	0.081
D	1	0.98	24	0.082
D	1	0.98	25	0.085
D	1	0.98	26	0.084
D	1	0.98	27	0.087
D	1	0.98	28	0.087
D	1	0.98	29	0.087
D	1	0.98	30	0.089
D	1	1.95	0	0.01
D	1	1.95	1	0.011
D	1	1.95	2	0.012
D	1	1.95	3	0.015
D	1	1.95	4	0.021
D	1	1.95	5	0.037
D	1	1.95	6	0.04
D	1	1.95	7	0.045
D	1	1.95	8	0.05
D	1	1.95	9	0.055
D	1	1.95	10	0.058
D	1	1.95	11	0.063
D	1	1.95	12	0.065
D	1	1.95	13	0.068
D	1	1.95	14	0.069
D	1	1.95	15	0.073
D	1	1.95	16	0.074
D	1	1.95	17	0.078
D	1	1.95	18	0.078
D	1	1.95	19	0.082
D	1	1.95	20	0.082
D	1	1.95	21	0.085
D	1	1.95	22	0.085
D	1	1.95	23	0.086
D	1	1.95	24	0.088
D	1	1.95	25	0.093
D	1	1.95	26	0.091
D	1	1.95	27	0.095
D	1	1.95	28	0.094
D	1	1.95	29	0.094
D	1	1.95	30	0.096
D	1	3.91	0	0.01
D	1	3.91	1	0.011
D	1	3.91	2	0.013
D	1	3.91	3	0.016
D	1	3.91	4	0.022
D	1	3.91	5	0.035
D	1	3.91	6	0.041
D	1	3.91	7	0.046
D	1	3.91	8	0.051
D	1	3.91	9	0.056
D	1	3.91	10	0.06
D	1	3.91	11	0.064
D	1	3.91	12	0.066
D	1	3.91	13	0.069
D	1	3.91	14	0.072
D	1	3.91	15	0.074
D	1	3.91	16	0.075
D	1	3.91	17	0.079
D	1	3.91	18	0.082
D	1	3.91	19	0.083
D	1	3.91	20	0.084
D	1	3.91	21	0.086
D	1	3.91	22	0.087
D	1	3.91	23	0.087
D	1	3.91	24	0.089
D	1	3.91	25	0.092
D	1	3.91	26	0.094
D	1	3.91	27	0.094
D	1	3.91	28	0.094
D	1	3.91	29	0.094
D	1	3.91	30	0.098
D	1	7.81	0	0.012
D	1	7.81	1	0.013
D	1	7.81	2	0.015
D	1	7.81	3	0.018
D	1	7.81	4	0.024
D	1	7.81	5	0.039
D	1	7.81	6	0.043
D	1	7.81	7	0.049
D	1	7.81	8	0.055
D	1	7.81	9	0.06
D	1	7.81	10	0.065
D	1	7.81	11	0.069
D	1	7.81	12	0.072
D	1	7.81	13	0.075
D	1	7.81	14	0.076
D	1	7.81	15	0.079
D	1	7.81	16	0.08
D	1	7.81	17	0.083
D	1	7.81	18	0.085
D	1	7.81	19	0.086
D	1	7.81	20	0.089
D	1	7.81	21	0.09
D	1	7.81	22	0.092
D	1	7.81	23	0.094
D	1	7.81	24	0.095
D	1	7.81	25	0.097
D	1	7.81	26	0.097
D	1	7.81	27	0.099
D	1	7.81	28	0.1
D	1	7.81	29	0.101
D	1	7.81	30	0.102
D	1	15.63	0	0.012
D	1	15.63	1	0.013
D	1	15.63	2	0.014
D	1	15.63	3	0.016
D	1	15.63	4	0.021
D	1	15.63	5	0.035
D	1	15.63	6	0.037
D	1	15.63	7	0.046
D	1	15.63	8	0.054
D	1	15.63	9	0.061
D	1	15.63	10	0.068
D	1	15.63	11	0.074
D	1	15.63	12	0.077
D	1	15.63	13	0.081
D	1	15.63	14	0.085
D	1	15.63	15	0.088
D	1	15.63	16	0.09
D	1	15.63	17	0.093
D	1	15.63	18	0.095
D	1	15.63	19	0.097
D	1	15.63	20	0.1
D	1	15.63	21	0.102
D	1	15.63	22	0.104
D	1	15.63	23	0.106
D	1	15.63	24	0.107
D	1	15.63	25	0.109
D	1	15.63	26	0.109
D	1	15.63	27	0.112
D	1	15.63	28	0.114
D	1	15.63	29	0.113
D	1	15.63	30	0.115
D	1	31.25	0	0.014
D	1	31.25	1	0.014
D	1	31.25	2	0.014
D	1	31.25	3	0.015
D	1	31.25	4	0.016
D	1	31.25	5	0.023
D	1	31.25	6	0.019
D	1	31.25	7	0.022
D	1	31.25	8	0.026
D	1	31.25	9	0.033
D	1	31.25	10	0.043
D	1	31.25	11	0.057
D	1	31.25	12	0.069
D	1	31.25	13	0.084
D	1	31.25	14	0.093
D	1	31.25	15	0.1
D	1	31.25	16	0.107
D	1	31.25	17	0.115
D	1	31.25	18	0.117
D	1	31.25	19	0.12
D	1	31.25	20	0.124
D	1	31.25	21	0.128
D	1	31.25	22	0.131
D	1	31.25	23	0.137
D	1	31.25	24	0.14
D	1	31.25	25	0.144
D	1	31.25	26	0.143
D	1	31.25	27	0.149
D	1	31.25	28	0.149
D	1	31.25	29	0.149
D	1	31.25	30	0.153
D	1	62.5	0	0.011
D	1	62.5	1	0.011
D	1	62.5	2	0.012
D	1	62.5	3	0.012
D	1	62.5	4	0.013
D	1	62.5	5	0.015
D	1	62.5	6	0.015
D	1	62.5	7	0.016
D	1	62.5	8	0.017
D	1	62.5	9	0.018
D	1	62.5	10	0.02
D	1	62.5	11	0.021
D	1	62.5	12	0.022
D	1	62.5	13	0.024
D	1	62.5	14	0.025
D	1	62.5	15	0.027
D	1	62.5	16	0.029
D	1	62.5	17	0.032
D	1	62.5	18	0.035
D	1	62.5	19	0.039
D	1	62.5	20	0.043
D	1	62.5	21	0.048
D	1	62.5	22	0.054
D	1	62.5	23	0.062
D	1	62.5	24	0.068
D	1	62.5	25	0.072
D	1	62.5	26	0.077
D	1	62.5	27	0.082
D	1	62.5	28	0.084
D	1	62.5	29	0.086
D	1	62.5	30	0.088
D	1	125	0	0.01
D	1	125	1	0.01
D	1	125	2	0.011
D	1	125	3	0.012
D	1	125	4	0.013
D	1	125	5	0.014
D	1	125	6	0.015
D	1	125	7	0.016
D	1	125	8	0.017
D	1	125	9	0.018
D	1	125	10	0.019
D	1	125	11	0.02
D	1	125	12	0.021
D	1	125	13	0.022
D	1	125	14	0.023
D	1	125	15	0.024
D	1	125	16	0.025
D	1	125	17	0.026
D	1	125	18	0.026
D	1	125	19	0.027
D	1	125	20	0.027
D	1	125	21	0.028
D	1	125	22	0.029
D	1	125	23	0.029
D	1	125	24	0.03
D	1	125	25	0.03
D	1	125	26	0.031
D	1	125	27	0.032
D	1	125	28	0.032
D	1	125	29	0.033
D	1	125	30	0.034
D	1	250	0	0.013
D	1	250	1	0.013
D	1	250	2	0.014
D	1	250	3	0.016
D	1	250	4	0.016
D	1	250	5	0.017
D	1	250	6	0.019
D	1	250	7	0.019
D	1	250	8	0.021
D	1	250	9	0.021
D	1	250	10	0.022
D	1	250	11	0.023
D	1	250	12	0.024
D	1	250	13	0.025
D	1	250	14	0.025
D	1	250	15	0.027
D	1	250	16	0.027
D	1	250	17	0.028
D	1	250	18	0.029
D	1	250	19	0.03
D	1	250	20	0.031
D	1	250	21	0.032
D	1	250	22	0.033
D	1	250	23	0.033
D	1	250	24	0.035
D	1	250	25	0.035
D	1	250	26	0.037
D	1	250	27	0.037
D	1	250	28	0.038
D	1	250	29	0.039
D	1	250	30	0.04
R	2	0	0	0.013
R	2	0	1	0.014
R	2	0	2	0.016
R	2	0	3	0.02
R	2	0	4	0.028
R	2	0	5	0.038
R	2	0	6	0.042
R	2	0	7	0.047
R	2	0	8	0.05
R	2	0	9	0.054
R	2	0	10	0.056
R	2	0	11	0.059
R	2	0	12	0.062
R	2	0	13	0.065
R	2	0	14	0.068
R	2	0	15	0.068
R	2	0	16	0.072
R	2	0	17	0.072
R	2	0	18	0.073
R	2	0	19	0.073
R	2	0	20	0.073
R	2	0	21	0.074
R	2	0	22	0.075
R	2	0	23	0.074
R	2	0	24	0.074
R	2	0	25	0.073
R	2	0	26	0.073
R	2	0	27	0.074
R	2	0	28	0.073
R	2	0	29	0.074
R	2	0	30	0.074
R	2	0.24	0	0.017
R	2	0.24	1	0.017
R	2	0.24	2	0.017
R	2	0.24	3	0.018
R	2	0.24	4	0.018
R	2	0.24	5	0.019
R	2	0.24	6	0.02
R	2	0.24	7	0.02
R	2	0.24	8	0.021
R	2	0.24	9	0.022
R	2	0.24	10	0.023
R	2	0.24	11	0.024
R	2	0.24	12	0.025
R	2	0.24	13	0.026
R	2	0.24	14	0.027
R	2	0.24	15	0.028
R	2	0.24	16	0.03
R	2	0.24	17	0.031
R	2	0.24	18	0.032
R	2	0.24	19	0.034
R	2	0.24	20	0.034
R	2	0.24	21	0.036
R	2	0.24	22	0.037
R	2	0.24	23	0.038
R	2	0.24	24	0.04
R	2	0.24	25	0.041
R	2	0.24	26	0.042
R	2	0.24	27	0.044
R	2	0.24	28	0.045
R	2	0.24	29	0.046
R	2	0.24	30	0.046
R	2	0.49	0	0.011
R	2	0.49	1	0.011
R	2	0.49	2	0.011
R	2	0.49	3	0.012
R	2	0.49	4	0.013
R	2	0.49	5	0.014
R	2	0.49	6	0.015
R	2	0.49	7	0.016
R	2	0.49	8	0.017
R	2	0.49	9	0.019
R	2	0.49	10	0.02
R	2	0.49	11	0.022
R	2	0.49	12	0.023
R	2	0.49	13	0.025
R	2	0.49	14	0.027
R	2	0.49	15	0.028
R	2	0.49	16	0.03
R	2	0.49	17	0.031
R	2	0.49	18	0.033
R	2	0.49	19	0.034
R	2	0.49	20	0.035
R	2	0.49	21	0.037
R	2	0.49	22	0.038
R	2	0.49	23	0.04
R	2	0.49	24	0.042
R	2	0.49	25	0.044
R	2	0.49	26	0.045
R	2	0.49	27	0.047
R	2	0.49	28	0.049
R	2	0.49	29	0.05
R	2	0.49	30	0.051
R	2	0.98	0	0.01
R	2	0.98	1	0.01
R	2	0.98	2	0.011
R	2	0.98	3	0.011
R	2	0.98	4	0.012
R	2	0.98	5	0.013
R	2	0.98	6	0.013
R	2	0.98	7	0.014
R	2	0.98	8	0.015
R	2	0.98	9	0.016
R	2	0.98	10	0.017
R	2	0.98	11	0.019
R	2	0.98	12	0.02
R	2	0.98	13	0.021
R	2	0.98	14	0.023
R	2	0.98	15	0.024
R	2	0.98	16	0.025
R	2	0.98	17	0.027
R	2	0.98	18	0.028
R	2	0.98	19	0.029
R	2	0.98	20	0.03
R	2	0.98	21	0.032
R	2	0.98	22	0.033
R	2	0.98	23	0.034
R	2	0.98	24	0.036
R	2	0.98	25	0.037
R	2	0.98	26	0.038
R	2	0.98	27	0.039
R	2	0.98	28	0.04
R	2	0.98	29	0.04
R	2	0.98	30	0.041
R	2	1.95	0	0.018
R	2	1.95	1	0.02
R	2	1.95	2	0.02
R	2	1.95	3	0.02
R	2	1.95	4	0.021
R	2	1.95	5	0.022
R	2	1.95	6	0.022
R	2	1.95	7	0.023
R	2	1.95	8	0.025
R	2	1.95	9	0.026
R	2	1.95	10	0.027
R	2	1.95	11	0.028
R	2	1.95	12	0.029
R	2	1.95	13	0.03
R	2	1.95	14	0.031
R	2	1.95	15	0.032
R	2	1.95	16	0.033
R	2	1.95	17	0.035
R	2	1.95	18	0.036
R	2	1.95	19	0.036
R	2	1.95	20	0.037
R	2	1.95	21	0.038
R	2	1.95	22	0.039
R	2	1.95	23	0.04
R	2	1.95	24	0.041
R	2	1.95	25	0.042
R	2	1.95	26	0.043
R	2	1.95	27	0.044
R	2	1.95	28	0.046
R	2	1.95	29	0.046
R	2	1.95	30	0.047
R	2	3.91	0	0.012
R	2	3.91	1	0.012
R	2	3.91	2	0.012
R	2	3.91	3	0.012
R	2	3.91	4	0.013
R	2	3.91	5	0.014
R	2	3.91	6	0.014
R	2	3.91	7	0.015
R	2	3.91	8	0.016
R	2	3.91	9	0.017
R	2	3.91	10	0.018
R	2	3.91	11	0.019
R	2	3.91	12	0.02
R	2	3.91	13	0.021
R	2	3.91	14	0.022
R	2	3.91	15	0.023
R	2	3.91	16	0.023
R	2	3.91	17	0.024
R	2	3.91	18	0.025
R	2	3.91	19	0.026
R	2	3.91	20	0.026
R	2	3.91	21	0.027
R	2	3.91	22	0.028
R	2	3.91	23	0.028
R	2	3.91	24	0.029
R	2	3.91	25	0.029
R	2	3.91	26	0.03
R	2	3.91	27	0.031
R	2	3.91	28	0.032
R	2	3.91	29	0.032
R	2	3.91	30	0.033
R	2	7.81	0	0.01
R	2	7.81	1	0.01
R	2	7.81	2	0.01
R	2	7.81	3	0.01
R	2	7.81	4	0.011
R	2	7.81	5	0.012
R	2	7.81	6	0.012
R	2	7.81	7	0.013
R	2	7.81	8	0.015
R	2	7.81	9	0.016
R	2	7.81	10	0.017
R	2	7.81	11	0.018
R	2	7.81	12	0.019
R	2	7.81	13	0.02
R	2	7.81	14	0.02
R	2	7.81	15	0.021
R	2	7.81	16	0.021
R	2	7.81	17	0.022
R	2	7.81	18	0.023
R	2	7.81	19	0.023
R	2	7.81	20	0.023
R	2	7.81	21	0.023
R	2	7.81	22	0.024
R	2	7.81	23	0.024
R	2	7.81	24	0.024
R	2	7.81	25	0.024
R	2	7.81	26	0.024
R	2	7.81	27	0.024
R	2	7.81	28	0.025
R	2	7.81	29	0.025
R	2	7.81	30	0.026
R	2	15.63	0	0.013
R	2	15.63	1	0.013
R	2	15.63	2	0.013
R	2	15.63	3	0.014
R	2	15.63	4	0.014
R	2	15.63	5	0.015
R	2	15.63	6	0.016
R	2	15.63	7	0.017
R	2	15.63	8	0.018
R	2	15.63	9	0.019
R	2	15.63	10	0.02
R	2	15.63	11	0.022
R	2	15.63	12	0.023
R	2	15.63	13	0.024
R	2	15.63	14	0.025
R	2	15.63	15	0.026
R	2	15.63	16	0.027
R	2	15.63	17	0.027
R	2	15.63	18	0.028
R	2	15.63	19	0.029
R	2	15.63	20	0.029
R	2	15.63	21	0.03
R	2	15.63	22	0.031
R	2	15.63	23	0.031
R	2	15.63	24	0.031
R	2	15.63	25	0.031
R	2	15.63	26	0.032
R	2	15.63	27	0.032
R	2	15.63	28	0.034
R	2	15.63	29	0.034
R	2	15.63	30	0.035
R	2	31.25	0	0.01
R	2	31.25	1	0.01
R	2	31.25	2	0.01
R	2	31.25	3	0.01
R	2	31.25	4	0.011
R	2	31.25	5	0.012
R	2	31.25	6	0.011
R	2	31.25	7	0.012
R	2	31.25	8	0.012
R	2	31.25	9	0.013
R	2	31.25	10	0.015
R	2	31.25	11	0.016
R	2	31.25	12	0.018
R	2	31.25	13	0.019
R	2	31.25	14	0.02
R	2	31.25	15	0.022
R	2	31.25	16	0.021
R	2	31.25	17	0.022
R	2	31.25	18	0.023
R	2	31.25	19	0.023
R	2	31.25	20	0.025
R	2	31.25	21	0.027
R	2	31.25	22	0.027
R	2	31.25	23	0.026
R	2	31.25	24	0.026
R	2	31.25	25	0.026
R	2	31.25	26	0.026
R	2	31.25	27	0.027
R	2	31.25	28	0.027
R	2	31.25	29	0.027
R	2	31.25	30	0.028
R	2	62.5	0	0.011
R	2	62.5	1	0.012
R	2	62.5	2	0.012
R	2	62.5	3	0.013
R	2	62.5	4	0.014
R	2	62.5	5	0.015
R	2	62.5	6	0.016
R	2	62.5	7	0.017
R	2	62.5	8	0.018
R	2	62.5	9	0.019
R	2	62.5	10	0.019
R	2	62.5	11	0.02
R	2	62.5	12	0.02
R	2	62.5	13	0.021
R	2	62.5	14	0.021
R	2	62.5	15	0.022
R	2	62.5	16	0.022
R	2	62.5	17	0.023
R	2	62.5	18	0.023
R	2	62.5	19	0.023
R	2	62.5	20	0.023
R	2	62.5	21	0.023
R	2	62.5	22	0.023
R	2	62.5	23	0.023
R	2	62.5	24	0.023
R	2	62.5	25	0.023
R	2	62.5	26	0.023
R	2	62.5	27	0.023
R	2	62.5	28	0.024
R	2	62.5	29	0.024
R	2	62.5	30	0.024
R	2	125	0	0.009
R	2	125	1	0.009
R	2	125	2	0.01
R	2	125	3	0.01
R	2	125	4	0.011
R	2	125	5	0.012
R	2	125	6	0.013
R	2	125	7	0.013
R	2	125	8	0.014
R	2	125	9	0.015
R	2	125	10	0.016
R	2	125	11	0.017
R	2	125	12	0.017
R	2	125	13	0.018
R	2	125	14	0.018
R	2	125	15	0.019
R	2	125	16	0.02
R	2	125	17	0.02
R	2	125	18	0.02
R	2	125	19	0.021
R	2	125	20	0.021
R	2	125	21	0.021
R	2	125	22	0.022
R	2	125	23	0.022
R	2	125	24	0.022
R	2	125	25	0.022
R	2	125	26	0.023
R	2	125	27	0.023
R	2	125	28	0.024
R	2	125	29	0.024
R	2	125	30	0.024
R	2	250	0	0.012
R	2	250	1	0.012
R	2	250	2	0.012
R	2	250	3	0.014
R	2	250	4	0.014
R	2	250	5	0.016
R	2	250	6	0.017
R	2	250	7	0.018
R	2	250	8	0.019
R	2	250	9	0.02
R	2	250	10	0.021
R	2	250	11	0.022
R	2	250	12	0.022
R	2	250	13	0.023
R	2	250	14	0.024
R	2	250	15	0.025
R	2	250	16	0.025
R	2	250	17	0.027
R	2	250	18	0.027
R	2	250	19	0.028
R	2	250	20	0.029
R	2	250	21	0.03
R	2	250	22	0.031
R	2	250	23	0.031
R	2	250	24	0.032
R	2	250	25	0.033
R	2	250	26	0.033
R	2	250	27	0.034
R	2	250	28	0.035
R	2	250	29	0.036
R	2	250	30	0.037
R	1	0	0	0.011
R	1	0	1	0.012
R	1	0	2	0.014
R	1	0	3	0.018
R	1	0	4	0.025
R	1	0	5	0.035
R	1	0	6	0.039
R	1	0	7	0.045
R	1	0	8	0.048
R	1	0	9	0.052
R	1	0	10	0.055
R	1	0	11	0.057
R	1	0	12	0.059
R	1	0	13	0.061
R	1	0	14	0.064
R	1	0	15	0.063
R	1	0	16	0.062
R	1	0	17	0.061
R	1	0	18	0.058
R	1	0	19	0.057
R	1	0	20	0.055
R	1	0	21	0.053
R	1	0	22	0.052
R	1	0	23	0.05
R	1	0	24	0.049
R	1	0	25	0.048
R	1	0	26	0.048
R	1	0	27	0.05
R	1	0	28	0.047
R	1	0	29	0.047
R	1	0	30	0.047
R	1	0.24	0	0.017
R	1	0.24	1	0.017
R	1	0.24	2	0.018
R	1	0.24	3	0.018
R	1	0.24	4	0.019
R	1	0.24	5	0.02
R	1	0.24	6	0.021
R	1	0.24	7	0.021
R	1	0.24	8	0.022
R	1	0.24	9	0.023
R	1	0.24	10	0.024
R	1	0.24	11	0.025
R	1	0.24	12	0.027
R	1	0.24	13	0.028
R	1	0.24	14	0.03
R	1	0.24	15	0.031
R	1	0.24	16	0.033
R	1	0.24	17	0.034
R	1	0.24	18	0.036
R	1	0.24	19	0.037
R	1	0.24	20	0.038
R	1	0.24	21	0.04
R	1	0.24	22	0.041
R	1	0.24	23	0.042
R	1	0.24	24	0.043
R	1	0.24	25	0.044
R	1	0.24	26	0.044
R	1	0.24	27	0.044
R	1	0.24	28	0.045
R	1	0.24	29	0.045
R	1	0.24	30	0.045
R	1	0.49	0	0.009
R	1	0.49	1	0.009
R	1	0.49	2	0.01
R	1	0.49	3	0.011
R	1	0.49	4	0.012
R	1	0.49	5	0.014
R	1	0.49	6	0.016
R	1	0.49	7	0.018
R	1	0.49	8	0.021
R	1	0.49	9	0.024
R	1	0.49	10	0.027
R	1	0.49	11	0.031
R	1	0.49	12	0.035
R	1	0.49	13	0.039
R	1	0.49	14	0.043
R	1	0.49	15	0.047
R	1	0.49	16	0.05
R	1	0.49	17	0.054
R	1	0.49	18	0.057
R	1	0.49	19	0.061
R	1	0.49	20	0.064
R	1	0.49	21	0.068
R	1	0.49	22	0.072
R	1	0.49	23	0.074
R	1	0.49	24	0.077
R	1	0.49	25	0.08
R	1	0.49	26	0.083
R	1	0.49	27	0.086
R	1	0.49	28	0.089
R	1	0.49	29	0.092
R	1	0.49	30	0.095
R	1	0.98	0	0.009
R	1	0.98	1	0.009
R	1	0.98	2	0.01
R	1	0.98	3	0.01
R	1	0.98	4	0.011
R	1	0.98	5	0.012
R	1	0.98	6	0.013
R	1	0.98	7	0.014
R	1	0.98	8	0.015
R	1	0.98	9	0.017
R	1	0.98	10	0.018
R	1	0.98	11	0.021
R	1	0.98	12	0.022
R	1	0.98	13	0.024
R	1	0.98	14	0.026
R	1	0.98	15	0.028
R	1	0.98	16	0.031
R	1	0.98	17	0.034
R	1	0.98	18	0.036
R	1	0.98	19	0.039
R	1	0.98	20	0.042
R	1	0.98	21	0.044
R	1	0.98	22	0.046
R	1	0.98	23	0.047
R	1	0.98	24	0.049
R	1	0.98	25	0.05
R	1	0.98	26	0.052
R	1	0.98	27	0.053
R	1	0.98	28	0.055
R	1	0.98	29	0.056
R	1	0.98	30	0.057
R	1	1.95	0	0.009
R	1	1.95	1	0.009
R	1	1.95	2	0.009
R	1	1.95	3	0.009
R	1	1.95	4	0.01
R	1	1.95	5	0.011
R	1	1.95	6	0.012
R	1	1.95	7	0.013
R	1	1.95	8	0.014
R	1	1.95	9	0.016
R	1	1.95	10	0.017
R	1	1.95	11	0.019
R	1	1.95	12	0.021
R	1	1.95	13	0.023
R	1	1.95	14	0.025
R	1	1.95	15	0.027
R	1	1.95	16	0.029
R	1	1.95	17	0.031
R	1	1.95	18	0.034
R	1	1.95	19	0.036
R	1	1.95	20	0.038
R	1	1.95	21	0.04
R	1	1.95	22	0.042
R	1	1.95	23	0.044
R	1	1.95	24	0.046
R	1	1.95	25	0.049
R	1	1.95	26	0.051
R	1	1.95	27	0.054
R	1	1.95	28	0.056
R	1	1.95	29	0.059
R	1	1.95	30	0.061
R	1	3.91	0	0.01
R	1	3.91	1	0.011
R	1	3.91	2	0.011
R	1	3.91	3	0.011
R	1	3.91	4	0.011
R	1	3.91	5	0.012
R	1	3.91	6	0.013
R	1	3.91	7	0.014
R	1	3.91	8	0.015
R	1	3.91	9	0.016
R	1	3.91	10	0.017
R	1	3.91	11	0.019
R	1	3.91	12	0.02
R	1	3.91	13	0.022
R	1	3.91	14	0.024
R	1	3.91	15	0.025
R	1	3.91	16	0.027
R	1	3.91	17	0.028
R	1	3.91	18	0.03
R	1	3.91	19	0.031
R	1	3.91	20	0.033
R	1	3.91	21	0.035
R	1	3.91	22	0.037
R	1	3.91	23	0.038
R	1	3.91	24	0.04
R	1	3.91	25	0.042
R	1	3.91	26	0.044
R	1	3.91	27	0.045
R	1	3.91	28	0.047
R	1	3.91	29	0.048
R	1	3.91	30	0.05
R	1	7.81	0	0.009
R	1	7.81	1	0.009
R	1	7.81	2	0.01
R	1	7.81	3	0.011
R	1	7.81	4	0.011
R	1	7.81	5	0.012
R	1	7.81	6	0.013
R	1	7.81	7	0.014
R	1	7.81	8	0.015
R	1	7.81	9	0.017
R	1	7.81	10	0.018
R	1	7.81	11	0.02
R	1	7.81	12	0.022
R	1	7.81	13	0.024
R	1	7.81	14	0.026
R	1	7.81	15	0.028
R	1	7.81	16	0.029
